GeneID	Pooled.screen.phenotype
PF3D7_1108000	HS.Neutral
PF3D7_0200300	HS.Neutral
PF3D7_0612800	HS.Neutral
PF3D7_0900800	HS.Neutral
PF3D7_1300800	HS.Neutral
PF3D7_1139300	HS.Neutral
PF3D7_0103300	HS.Neutral
PF3D7_1302000	HS.Neutral
PF3D7_0202100	HS.Neutral
PF3D7_0203000	HS.Neutral
PF3D7_0110500	HS.Neutral
PF3D7_1221000	HS.Neutral
PF3D7_0524400	HS.Neutral
PF3D7_0601900	HS.Neutral
PF3D7_0203600	HS.Neutral
PF3D7_1227000	HS.Neutral
PF3D7_1328700	HS.Neutral
PF3D7_0523200	HS.Neutral
PF3D7_1200600	HS.Neutral
PF3D7_1018300	HS.Neutral
PF3D7_0808700	HS.Neutral
PF3D7_1219300	HS.Neutral
PF3D7_1202300	A.HS.Sensitive
PF3D7_1033400	A.HS.Sensitive
PF3D7_1370300	not.classified
PF3D7_0203100	not.classified
PF3D7_1027000	not.classified
PF3D7_0714100	not.classified
PF3D7_1408700	not.classified
PF3D7_0305200	not.classified
PF3D7_1251000	not.classified
PF3D7_1149500	not.classified
PF3D7_0723900	not.classified
PF3D7_1311800	not.classified
PF3D7_0518900	not.classified
PF3D7_1038800	not.classified
PF3D7_0115700	not.classified
PF3D7_0104200	not.classified
PF3D7_1458300	not.classified
PF3D7_1351300	not.classified
PF3D7_1000100	not.classified
PF3D7_0805600	not.classified
PF3D7_0716000	not.classified
PF3D7_1207600	not.classified
PF3D7_0921200	not.classified
PF3D7_1327300	not.classified
PF3D7_1019300	not.classified
PF3D7_1419200	not.classified
PF3D7_0301500	not.classified
PF3D7_0608900	not.classified
PF3D7_1372200	not.classified
PF3D7_0831400	not.classified
PF3D7_0604500	not.classified
PF3D7_1239000	not.classified
PF3D7_0731300	not.classified
PF3D7_1441100	not.classified
PF3D7_1205400	not.classified
PF3D7_0314800	not.classified
PF3D7_0715200	not.classified
PF3D7_0937800	not.classified
PF3D7_0931000	not.classified
PF3D7_0418000	not.classified
PF3D7_1342000	not.classified
PF3D7_0108300	not.classified
PF3D7_0914300	not.classified
PF3D7_1347200	not.classified
PF3D7_0810000	not.classified
PF3D7_0617300	not.classified
PF3D7_0211700	not.classified
PF3D7_1327100	not.classified
PF3D7_1001700	not.classified
PF3D7_0727900	not.classified
PF3D7_1428200	not.classified
PF3D7_1000700	not.classified
PF3D7_1334800	not.classified
PF3D7_0307900	not.classified
PF3D7_1143500	not.classified
PF3D7_0731800	not.classified
PF3D7_0404100	HS.Neutral
PF3D7_1231800	HS.Neutral
PF3D7_0102100	HS.Neutral
PF3D7_0726100	HS.Neutral
